OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1066,2020-001AS,2025-05-24T22:00:01.999584,15.49179287,.0001176,53.0538,159.9975,77.1721,116.0934,0,U,44954,999,559,.21159E-1,.1298562E-1,0
STARLINK-1080,2020-001AZ,2025-05-25T01:56:51.984672,15.06401800,.0001202,53.0541,162.2356,80.2747,279.8378,0,U,44961,999,29691,.90887E-4,.1073E-4,0
STARLINK-1090,2020-001BG,2025-05-25T02:02:10.803264,15.06399782,.0001174,53.0542,162.2175,81.9369,278.1753,0,U,44968,999,29691,.54965E-4,.537E-5,0
STARLINK-1092,2020-001BH,2025-05-24T22:00:01.999584,15.84141121,.0007781,53.0406,114.9691,64.1454,256.1192,0,U,44969,999,603,.64433E-3,.150371E-2,0
STARLINK-1093,2020-001BJ,2025-05-24T07:10:36.436512,15.79129031,.0005434,53.0414,98.4554,74.8943,285.2678,0,U,44970,999,29772,.55137E-3,.101084E-2,0
STARLINK-1107,2020-001BL,2025-05-25T05:54:54.563904,15.42364942,.0006728,53.0173,127.5687,38.3074,321.8407,0,U,44972,999,29741,.12816E-2,.56196E-3,0
STARLINK-1115,2020-001BM,2025-05-25T04:13:03.990432,15.61820072,.0005517,53.0362,104.2687,21.5228,338.6015,0,U,44973,999,29773,.11301E-2,.100556E-2,0
STARLINK-1132,2020-006A,2025-05-24T09:08:23.972064,15.06395531,.0001193,53.0542,125.3742,85.9578,274.1547,0,U,45044,999,29313,.58255E-5,-.195E-5,0
STARLINK-1131,2020-006D,2025-05-24T16:31:41.456064,15.06395012,.0001295,53.0540,144.5313,87.1065,273.0072,0,U,45047,999,29289,.35082E-4,.241E-5,0
STARLINK-1134,2020-006E,2025-05-24T16:38:01.133952,15.16458015,.0007751,53.0506,138.9156,15.2463,344.8762,0,U,45048,999,29297,.10284E-2,.20009E-3,0
STARLINK-1148,2020-006J,2025-05-25T06:00:02.000160,15.76329163,.0004151,53.0421,71.0131,83.7281,131.8697,0,U,45052,999,29431,.13165E-2,.216616E-2,0
STARLINK-1156,2020-006L,2025-05-24T07:51:26.458848,15.06393879,.0001304,53.0544,145.6126,84.7087,275.4051,0,U,45054,999,29284,.87834E-4,.1027E-4,0
STARLINK-1159,2020-006P,2025-05-24T06:37:07.828320,15.06394722,.0001193,53.0542,145.8433,85.1003,275.0122,0,U,45057,999,29284,.84136E-4,.972E-5,0
STARLINK-1166,2020-006S,2025-05-24T16:26:17.091456,15.06397671,.0001228,53.0539,144.0107,80.2541,279.8587,0,U,45060,999,29290,.68351E-4,.737E-5,0
STARLINK-1169,2020-006T,2025-05-24T07:03:39.878784,15.06390694,.0001353,53.0542,145.7674,87.0711,273.0433,0,U,45061,999,29284,.44853E-4,.387E-5,0
STARLINK-1171,2020-006U,2025-05-25T00:13:22.185984,15.06400147,.0001324,53.0539,142.5522,85.6938,274.4202,0,U,45062,999,29329,.77026E-4,.866E-5,0
STARLINK-1133,2020-006W,2025-05-25T05:18:35.194752,15.06403605,.0001274,53.0541,121.6010,76.0550,284.0580,0,U,45064,999,29361,.89944E-4,.1059E-4,0
