ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
9OR7,heliport,Fishback Heliport,200,NA,US,US-OR,Fort Hill,,,9OR7,9OR7,"45.603889, -123.078611"
9OR8,small_airport,Wooldridge Agstrip Airport,205,NA,US,US-OR,Philadelphia,,,9OR8,9OR8,"44.732601165771484, -123.05599975585938"
9OR9,heliport,Wallace Heliport,50,NA,US,US-OR,Philadelphia,,,9OR9,9OR9,"45.55820083618164, -122.53500366210938"
9PA0,small_airport,Lance Airport,275,NA,US,US-PA,Perryopolis,,,9PA0,9PA0,"40.18730163574219, -75.59020233154297"
9PA2,small_airport,Old Plains Airport,660,NA,US,US-PA,Philadelphia,,,9PA2,9PA2,"40.388566, -75.441811"
9PA5,small_airport,Solt Field,520,NA,US,US-PA,Wilkes Barre,,,9PA5,9PA5,"40.78010177612305, -75.71630096435547"
9PA6,heliport,State Police Area Six Heliport,100,NA,US,US-PA,Wilkes-Barre,,,9PA6,9PA6,"40.03340148925781, -75.24960327148438"
9PA7,small_airport,Keystone Airport,2531,NA,US,US-PA,Wysox,,,9PA7,9PA7,"39.77280044555664, -79.21109771728516"
9PA8,heliport,Thomas Jefferson University Hospital Heliport,253,NA,US,US-PA,Carbondale,,,9PA8,9PA8,"39.94896, -75.158688"
9PA9,heliport,Lankenau Hospital Heliport,250,NA,US,US-PA,Pen Argyl,,,9PA9,9PA9,"39.98789978027344, -75.26069641113281"
9PN1,small_airport,Seitz Field,1240,NA,US,US-PA,Guaynabo,,,9PN1,9PN1,"40.03900146484375, -79.79000091552734"
9PN2,heliport,Childrens Hospital Of Philadelphia Heliport,203,NA,US,US-PA,Wexford,,,9PN2,9PN2,"39.947927, -75.193981"
9PN5,heliport,Franklin Heliport,710,NA,US,US-PA,Whitemarsh Township,,,9PN5,9PN5,"41.21979904174805, -75.88099670410156"
9PN6,heliport,Baratta Heliport,1130,NA,US,US-PA,Worthington,,,9PN6,9PN6,"41.125099182128906, -75.99330139160156"
9PN7,small_airport,Veit Airport,1360,NA,US,US-PA,Doylestown,,,9PN7,9PN7,"41.81809997558594, -76.4126968383789"
9PN8,small_airport,Malinchak Private Airport,1700,NA,US,US-PA,Easton-Forks Township,,,9PN8,9PN8,"41.625099182099994, -75.53299713130001"
9PN9,heliport,Perin Heliport,740,NA,US,US-PA,West Reading,,,9PN9,9PN9,"40.84700012207031, -75.2437973022461"
9PR1,heliport,Cesar Castillo LLC Heliport,236,NA,PR,PR-U-A,Downingtown,,,9PR1,9PR1,"18.330966, -66.098315"
9PS0,heliport,Zokaites Heliport,1268,NA,US,US-PA,Duncansville,,,9PS0,9PS0,"40.60900115966797, -80.03299713134766"
9PS1,heliport,Eagle Lodge-Lafayette Hill Heliport,352,NA,US,US-PA,Gettysburg,,,9PS1,9PS1,"40.076499938964844, -75.25520324707031"
