h3_index,lat,lon
821e97fffffffff,39.92154266172759,10.16532642782457
821ea7fffffffff,44.82049077519583,12.009474543846169
821eaffffffffff,44.0957744892191,15.959579457229825
821eb7fffffffff,42.702654327595376,9.146116931072449
821ec7fffffffff,42.20100279754054,23.730227505959636
821ed7fffffffff,40.32081128057807,20.59052692646625
821edffffffffff,39.253000934226314,24.311093276265858
821ee7fffffffff,45.07261468402061,23.109128659902318
821eeffffffffff,43.961440984919804,27.00069673918446
821ef7fffffffff,43.220716391257106,19.878339302532357
821f07fffffffff,54.46692533861171,11.974482143680014
821f0ffffffffff,53.88569237656755,16.49084641220832
821f17fffffffff,52.52332393691201,8.716218841295634
821f1ffffffffff,52.03746014309453,13.075441621988512
821f27fffffffff,56.780222922375586,10.792008038724338
821f2ffffffffff,56.28102136810148,15.479832107585247
821f37fffffffff,54.8672133508337,7.466286574622878
821f47fffffffff,54.71627158961439,24.68297566391806
821f57fffffffff,53.121992776216935,20.959814810333196
821f67fffffffff,57.14268304305255,23.983175418592012
821f77fffffffff,55.59224280796542,20.12991902532103
821f87fffffffff,47.98465789530364,6.917932607771513
821f8ffffffffff,47.49453664509943,10.981478190077814
821f9ffffffffff,45.39360105311002,8.065291682168784
821fa7fffffffff,50.46829069058032,5.698711760434846
821faffffffffff,50.06429505715808,9.885738913672435
821fb7fffffffff,48.32092720674154,2.9111848714527118
822627fffffffff,45.846544219855225,-95.5200074306938
82262ffffffffff,43.34298070293894,-93.43879022787675
822647fffffffff,38.31366675569693,-89.73755727516323
82264ffffffffff,35.72961114103378,-88.02891280651528
822657fffffffff,38.460990603869156,-93.35845749135969
82265ffffffffff,35.894607190675195,-91.5077908122857
822667fffffffff,40.56774743212382,-87.74601179527174
82266ffffffffff,38.064363420060374,-86.23776716234067
822687fffffffff,40.560173745972385,-107.01501416220259
82268ffffffffff,38.20035558844007,-104.68788836278445
822697fffffffff,40.15370999576085,-110.92269823727851
8226affffffffff,40.83242693496601,-103.08915426057041
8226b7fffffffff,42.82035419731284,-109.45425968017287
8226cffffffffff,33.36367021765483,-96.76144199899728
