client_city,client_country_code,server_city,server_country_code,distance
Santo Domingo,DO,Portland,US,5683.86
Manila,PH,Sofia,BG,9534.37
Rutherfordton,US,Atlanta,US,287.97
Sydney,AU,Stockholm,SE,15586.2
Sydney,AU,Auckland,NZ,2161.58
Green River,US,Denver,US,434.55
Accra,GH,Lisbon,PT,3782.21
Lagos,NG,Lisbon,PT,3788.6
Pontypool,CA,Newark,US,524.63
Berlin,DE,Tunis,TN,1764.33
Robbinsville,US,Atlanta,US,1129.99
Gladstone,AU,Sydney,AU,1111.02
Clifton Grove,AU,Sydney (Mascot),AU,203.03
Rome,IT,Charleston,US,7847.93
Kigali,RW,New York,US,11331.12
Montreal,CA,Montreal,CA,0.0
Tokyo,JP,London,GB,9584.68
Jutaí Municipality,BR,Sao Paulo,BR,3164.81
Acassuso,AR,Buenos Aires (Ezeiza),AR,16.78
Vancouver,CA,Stavanger,NO,7140.87
Tokyo,JP,Miami,US,12015.19
Kingstown,VC,Bogota,CO,1692.64
Nairobi,KE,Singapore,SG,7461.33
Dhaka,BD,Dhaka,BD,0.0
Sydney,AU,Prague,CZ,16079.73
Stewartstown,US,Washington,US,814.62
Seattle,US,Sydney,AU,12455.37
Oslo,NO,Stavanger,NO,302.83
Cleveland,US,Jacksonville,US,1236.54
Johannesburg,ZA,Cape Town,ZA,1261.02
Miami,US,Dublin,IE,6700.15
Montevideo,UY,Florianopolis,BR,1088.11
Sydney,AU,Jakarta,ID,5497.77
Seattle,US,Vancouver,CA,190.0
Flat Rock,US,Chicago,US,367.08
Kingston,JM,Omaha,US,3169.02
Berlin,DE,Berlin,DE,0.0
York Springs,US,New York,US,281.52
Madrid,ES,Marseille,FR,817.92
Manila,PH,Jakarta,ID,2777.94
Atlanta,US,Madrid,ES,6960.76
Benjamin Constant Municipality,BR,Sao Paulo,BR,3288.75
Manila,PH,Manila (Pasay),PH,0.86
Berlin,DE,London,GB,934.51
Sofia,BG,Omaha,US,8901.37
Kariba,ZW,Nairobi,KE,1900.11
Accra,GH,Madrid,ES,3878.35
Toronto,CA,Calgary,CA,2713.47
Abakaliki,NG,Frankfurt,DE,4854.04
Central Coast,AU,Melbourne,AU,755.04
Central Coast,AU,Sydney,AU,62.86
Kigali,RW,Doha,QA,3800.68
Miami,US,Honolulu,US,7824.79
Bandele,YT,Omaha,US,15123.89
Westerlo,US,Newark,US,199.15
Tempe,US,Charleston,US,2972.47
Miami,US,Prague,CZ,8168.32
Budapest,HU,Ljubljana,SI,381.79
Rokeby,AU,Sydney (Mascot),AU,1054.58
Los Angeles,US,Berlin,DE,9332.85
Calgary,CA,Sydney,AU,13156.22
Livermore,US,Los Angeles,US,498.73
Miami,US,Portland,US,4354.08
Niamey,NE,Lagos,NG,793.14
Gormandale,AU,London,GB,17049.69
São Paulo,BR,Calgary,CA,10560.45
Bogotá,CO,Miami,US,2427.99
Manila,PH,Taipei,TW,1157.56
Iqaluit,CA,Newark,US,2589.73
Nuku'alofa,TO,Sydney (Mascot),AU,3585.49
Minneapolis,US,Sydney,AU,14483.27
Vienna,AT,Warsaw,PL,556.27
Dushore,US,Macomb,US,1205.78
Port-au-Prince,HT,Washington,US,2301.78
Lima,PE,Santiago,CL,2455.15
Tete,MZ,Frankfurt am Main,DE,7736.6
Quinte West,CA,Newark,US,474.85
Nicosia,CY,Amsterdam,NL,2950.53
Porto-Novo,BJ,Lagos,NG,86.31
Prague,CZ,Amsterdam,NL,711.76
Panama City,PA,New York,US,3558.1
Dushore,US,Washington,US,295.55
Toronto,CA,Sydney,AU,15566.28
Halifax,CA,New York,US,953.21
Preston Hollow,US,New York,US,195.82
Wiarton,CA,Chicago,US,621.36
Lara,AU,Melbourne,AU,53.04
Nicosia,CY,New York,US,8800.89
Valletta,MT,Podgorica,ME,834.03
Athens,GR,Podgorica,ME,623.84
Chicago,US,Osaka,JP,10457.84
Bogotá,CO,Paris,FR,8629.02
Winnipeg,CA,Calgary,CA,1205.59
Vancouver,CA,Melbourne,AU,13194.09
Stone Mountain,US,Charleston,US,406.41
Calgary,CA,Amsterdam,NL,7197.62
Yowrie,AU,Melbourne,AU,455.94
Carlton,US,Newark,US,1607.67
Vancouver,CA,Prague,CZ,8276.14
Vienna,AT,Belgrade,RS,490.06
Cowansville,US,Macomb,US,938.24
Stratford,CA,Toronto,CA,136.35
Peelhurst,AU,Melbourne,AU,235.31
Toronto,CA,Montreal,CA,501.12
Berlin,DE,Charleston,US,7402.79
Kasempa,ZM,Frankfurt am Main,DE,7238.48
Chipley,US,Atlanta,US,346.89
Whittlesea,AU,Sydney,AU,682.89
Denver,US,San Francisco Bay Area,US,1539.45
Amsterdam,NL,Hamburg,DE,367.19
New York,US,Seattle,US,3881.86
Ashland,US,Dulles,US,3868.76
Vienna,AT,Omaha,US,8084.01
Chicago,US,New York,US,1158.88
Buenos Aires,AR,New York,US,8488.21
Lindley,US,Newark,US,287.35
Winnipeg,CA,Prague,CZ,7164.97
New York,US,Toronto,CA,562.78
Paris,FR,Sydney,AU,16956.73
Atlanta,US,Vancouver,CA,3604.88
Berlin,DE,Montreal,CA,6015.4
Chicago,US,Chicago,US,0.0
Berlin,DE,Helsinki,FI,1107.79
Aden,YE,Doha,QA,1541.48
San Jose,US,Charleston,US,3821.38
Gordon,AU,Sydney (Mascot),AU,13.63
Brownsville,US,Dallas-Fort Worth,US,766.15
Juba,SS,Tel Aviv,IL,3035.64
Calgary,CA,Seoul,KR,8531.54
Greater Napanee,CA,Toronto,CA,202.41
Nairobi,KE,London,GB,6805.95
Santiago,CL,Sydney,AU,11371.72
Maputo,MZ,Berlin,DE,8886.82
Kalispell,US,Seattle,US,601.08
Cohuna,AU,Sydney (Mascot),AU,674.21
Lilongwe,MW,Lagos,NG,4047.58
Madrid,ES,Lisbon,PT,503.49
Athens,GR,Washington,US,8270.98
Buenos Aires,AR,Madrid,ES,10020.34
Rome,IT,Tunis,TN,598.49
Fredericton,CA,New York,US,830.89
Regina,CA,Minneapolis,US,1045.44
Kasama,ZM,Maputo,MZ,1744.42
Seoul,KR,Osaka,JP,830.03
Amsterdam,NL,Omaha,US,7158.8
Sydney,AU,Miami,US,15029.17
São Paulo,BR,Lima,PE,3455.29
London,GB,Dallas,US,7655.53
Vienna,AT,New York,US,6810.63
Berlin,DE,Los Angeles,US,9332.85
Los Angeles,US,Vancouver,CA,1725.05
Sofia,BG,Dallas,US,9662.12
Stony Creek,US,Washington,US,219.81
Bowen Mountain,AU,Sydney,AU,62.38
Brisbane,AU,Sydney (Mascot),AU,730.74
Manila,PH,Washington,US,13795.11
Calgary,CA,Melbourne,AU,13866.95
Vienna,AT,Zurich,CH,593.78
Atlanta,US,Stavanger,NO,6869.12
New York,US,Amsterdam,NL,5874.42
Saint-Pierre,PM,Montreal,CA,1348.05
Toronto,CA,Winnipeg,CA,1513.49
Saipan,MP,Manila,PH,2664.84
Bandele,YT,Paris,FR,8034.64
Saint George's,GD,Bogota,CO,1580.46
São Paulo,BR,London,GB,9472.79
Paris,FR,London,GB,343.88
Pago Pago,AS,Auckland,NZ,2887.63
Lima region,PE,Lima,PE,3.79
Haliburton,CA,Montreal,CA,723.95
Barre,US,Washington,US,697.88
Palikir - National Government Center,FM,Singapore,SG,6064.03
Dallas,US,Mexico City,MX,1498.88
Vancouver,CA,Spokane,US,454.45
Catawissa,US,Newark,US,194.69
Santiago,CL,Stavanger,NO,12406.31
Tempe,US,Toronto,CA,3037.03
Dallas,US,Omaha,US,942.03
Atlanta,US,Las Vegas,US,2817.13
Atlanta,US,Chicago,US,941.02
Kyogle,AU,Sydney,AU,597.18
São Paulo,BR,Sao Paulo,BR,0.06
Benayeo,AU,Sydney,AU,982.43
Regina,CA,Calgary,CA,670.41
