h3Index,lat,lon,parent_data_points,client_server_distance_km
841f983ffffffff,45.32094,8.626967,323622.0,34.248173191613574
841f985ffffffff,45.086439,7.665099,323622.0,1.1806534012383556
841f987ffffffff,45.015093,8.22365,323622.0,43.60314106068636
841f989ffffffff,45.770067,7.905576,323622.0,68.31625178801167
841f98bffffffff,45.699124,8.469546,323622.0,24.19338090433811
841f98dffffffff,45.463223,7.504495,323622.0,44.76313094856689
841f991ffffffff,45.548013,9.599806,323622.0,33.18422941563721
841f993ffffffff,45.46782,10.165879,323622.0,76.10130250382495
841f995ffffffff,45.245226,9.189416,323622.0,24.649066406858662
841f997ffffffff,45.166447,9.752529,323622.0,55.233826365647325
841f999ffffffff,45.927544,9.445743,323622.0,54.937336258627866
841f99bffffffff,45.849025,10.01423,323622.0,76.86845652939684
841f99dffffffff,45.62511,9.034325,323622.0,21.36470667755286
841f9a1ffffffff,44.398605,7.429053,323622.0,78.15368720500497
841f9a3ffffffff,44.326815,7.982268,323622.0,87.09024607486822
841f9a5ffffffff,44.088083,7.03773,323622.0,121.24893102863514
841f9a7ffffffff,44.017526,7.587828,323622.0,118.25979741862967
841f9a9ffffffff,44.777698,7.268946,323622.0,46.38264503362614
841f9abffffffff,44.707628,7.824352,323622.0,42.93561516624403
841f9adffffffff,44.467436,6.87681,323622.0,92.77951066555185
841f9b1ffffffff,44.558505,8.937783,323622.0,102.9362005453333
841f9b3ffffffff,44.479425,9.495602,323622.0,112.40273981813803
841f9b5ffffffff,44.252053,8.536354,323622.0,114.40008894474228
841f9b9ffffffff,44.940725,8.783041,323622.0,66.63130977558258
841f9bbffffffff,44.863322,9.343169,323622.0,68.18060238044508
841f9bdffffffff,44.634568,8.380665,323622.0,74.35415726077068
841f9c1ffffffff,46.210609,7.179171,323622.0,131.60330343103442
841f9c3ffffffff,46.144466,7.744489,323622.0,97.99723336226437
841f9c5ffffffff,45.902802,6.780494,323622.0,115.15360521824711
841f9c7ffffffff,45.837954,7.342524,323622.0,88.28976568282485
841f9c9ffffffff,46.581163,7.014423,323622.0,145.58020930674812
