h3Index,lat,lon,parent_data_points,resolution
821b87fffffffff,52.38052,-56.204456,0.0,2
821b97fffffffff,50.867893,-60.44106,0.0,2
821b9ffffffffff,49.417811,-56.455623,0.0,2
821bb7fffffffff,53.883311,-60.496218,0.0,2
821d27fffffffff,56.700514,-136.096711,0.0,2
821e07fffffffff,48.75835,18.303044,73442.0,2
821e0ffffffffff,47.85598,22.443629,0.0,2
821e17fffffffff,46.845486,15.061696,9583.0,2
821e1ffffffffff,46.036838,19.117469,708.0,2
821e27fffffffff,51.37673,17.429573,0.0,2
821e2ffffffffff,50.541533,21.728992,0.0,2
821e37fffffffff,49.495206,14.1023,12293.0,2
821e47fffffffff,48.375417,29.986162,0.0,2
821e4ffffffffff,47.070065,33.872833,0.0,2
821e57fffffffff,46.7953,26.483433,0.0,2
821e5ffffffffff,45.588076,30.387721,0.0,2
821e67fffffffff,51.068829,29.55378,24533.0,2
821e6ffffffffff,49.802946,33.597258,0.0,2
821e77fffffffff,49.537547,25.927724,0.0,2
821e87fffffffff,42.050791,12.975217,94674.0,2
821e8ffffffffff,41.25581,16.80128,0.0,2
821e97fffffffff,39.921543,10.165326,0.0,2
821e9ffffffffff,39.196323,13.883694,0.0,2
821ea7fffffffff,44.820491,12.009475,0.0,2
821eaffffffffff,44.095774,15.959579,0.0,2
821eb7fffffffff,42.702654,9.146117,0.0,2
821ec7fffffffff,42.201003,23.730228,107128.0,2
821ecffffffffff,41.046542,27.483295,0.0,2
821ed7fffffffff,40.320811,20.590527,75.0,2
821edffffffffff,39.253001,24.311093,41355.0,2
821ee7fffffffff,45.072615,23.109129,0.0,2
821eeffffffffff,43.961441,27.000697,796.0,2
821ef7fffffffff,43.220716,19.878339,6.0,2
821f07fffffffff,54.466925,11.974482,514.0,2
821f0ffffffffff,53.885692,16.490846,0.0,2
821f17fffffffff,52.523324,8.716219,6.0,2
821f1ffffffffff,52.03746,13.075442,652732.0,2
821f27fffffffff,56.780223,10.792008,0.0,2
821f2ffffffffff,56.281021,15.479832,0.0,2
821f37fffffffff,54.867213,7.466287,0.0,2
821f47fffffffff,54.716272,24.682976,316.0,2
821f57fffffffff,53.121993,20.959815,20697.0,2
821f5ffffffffff,52.179893,25.329235,0.0,2
821f67fffffffff,57.142683,23.983175,498.0,2
821f6ffffffffff,56.147813,28.581424,0.0,2
821f77fffffffff,55.592243,20.129919,0.0,2
821f87fffffffff,47.984658,6.917933,2814.0,2
821f8ffffffffff,47.494537,10.981478,0.0,2
821f97fffffffff,45.818112,4.163966,0.0,2
821f9ffffffffff,45.393601,8.065292,323622.0,2
821fa7fffffffff,50.468291,5.698712,29382.0,2
821faffffffffff,50.064295,9.885739,0.0,2
821fb7fffffffff,48.320927,2.911185,206769.0,2
822007fffffffff,46.041894,71.527903,0.0,2
82200ffffffffff,46.389201,76.014373,0.0,2
822017fffffffff,43.134396,69.92518,0.0,2
82201ffffffffff,43.549074,74.180633,0.0,2
822027fffffffff,48.467599,68.627955,0.0,2
82202ffffffffff,48.924508,73.308012,0.0,2
822037fffffffff,45.521599,67.111269,0.0,2
822047fffffffff,49.257801,82.765934,0.0,2
82204ffffffffff,49.137543,87.416729,0.0,2
822057fffffffff,46.558717,80.516694,0.0,2
82205ffffffffff,46.55199,84.979734,0.0,2
822067fffffffff,51.924107,80.28995,0.0,2
82206ffffffffff,51.877835,85.242359,0.0,2
822077fffffffff,49.18856,78.041984,0.0,2
8220a7fffffffff,40.223916,68.476758,0.0,2
8220c7fffffffff,41.192959,80.702521,0.0,2
8220e7fffffffff,43.80351,78.470805,0.0,2
8220effffffffff,43.896282,82.747964,0.0,2
822107fffffffff,50.025026,60.764474,0.0,2
82210ffffffffff,50.799626,65.461624,0.0,2
822117fffffffff,47.017928,59.659826,0.0,2
82211ffffffffff,47.826943,64.061497,0.0,2
822127fffffffff,52.091411,57.213443,0.0,2
82212ffffffffff,53.011553,62.012601,0.0,2
822137fffffffff,49.07939,56.28498,0.0,2
822147fffffffff,54.244503,72.235128,0.0,2
82214ffffffffff,54.524472,77.513367,0.0,2
822157fffffffff,51.382609,70.325622,6.0,2
82215ffffffffff,51.759636,75.292603,0.0,2
822167fffffffff,56.615014,68.835326,0.0,2
822177fffffffff,53.736045,67.041543,0.0,2
82218ffffffffff,42.566324,65.74991,0.0,2
8221a7fffffffff,44.010122,58.675959,0.0,2
8221affffffffff,44.839084,62.813545,0.0,2
8221b7fffffffff,41.020788,57.794586,0.0,2
822407fffffffff,44.985902,101.500692,0.0,2
82240ffffffffff,44.296958,105.137716,0.0,2
822417fffffffff,42.800158,98.860118,0.0,2
82241ffffffffff,42.229422,102.476483,0.0,2
822427fffffffff,47.783481,100.405685,0.0,2
82242ffffffffff,47.068512,104.294176,0.0,2
822437fffffffff,45.575555,97.643973,0.0,2
822447fffffffff,45.377947,111.314975,0.0,2
82244ffffffffff,44.444272,114.448891,0.0,2
822457fffffffff,43.528881,108.546536,0.0,2
82245ffffffffff,42.700695,111.726102,0.0,2
822467fffffffff,48.104103,110.853978,0.0,2
82246ffffffffff,47.111468,114.189452,0.0,2
822477fffffffff,46.259372,107.931581,0.0,2
8224e7fffffffff,41.574733,105.89056,0.0,2
822507fffffffff,51.199621,94.736739,0.0,2
82250ffffffffff,50.606321,99.169163,0.0,2
822517fffffffff,48.839687,91.936931,0.0,2
82251ffffffffff,48.381409,96.278636,0.0,2
822537fffffffff,51.630738,90.078485,0.0,2
822547fffffffff,51.836899,106.456102,0.0,2
822557fffffffff,49.875611,103.342943,0.0,2
82255ffffffffff,49.0332,107.239805,663.0,2
822577fffffffff,52.702875,102.262627,0.0,2
822587fffffffff,43.617927,91.079591,0.0,2
82258ffffffffff,43.268858,95.054234,0.0,2
8225a7fffffffff,46.376655,89.351182,0.0,2
8225affffffffff,46.045571,93.585019,0.0,2
822607fffffffff,43.422815,-97.424659,0.0,2
82260ffffffffff,40.976086,-95.32848,0.0,2
