h3Index,lat,lon,parent_data_points
832558fffffffff,49.0332,107.239805,663.0
832559fffffffff,49.040823,108.733143,663.0
83255afffffffff,48.086057,106.493671,663.0
83255bfffffffff,48.110637,107.96933,663.0
83255cfffffffff,49.959468,106.475639,663.0
83255dfffffffff,49.969702,108.010079,663.0
83255efffffffff,49.005757,105.724591,663.0
832650fffffffff,38.460991,-93.358457,4014.0
832651fffffffff,37.716717,-92.299719,4014.0
832652fffffffff,38.128292,-94.661629,4014.0
832653fffffffff,37.391746,-93.587722,4014.0
832654fffffffff,39.518839,-93.124748,4014.0
832655fffffffff,38.775589,-92.058486,4014.0
832656fffffffff,39.196373,-94.440375,4014.0
832660fffffffff,40.567747,-87.746012,544890.0
832661fffffffff,39.792791,-86.763152,544890.0
832662fffffffff,40.350167,-89.143643,544890.0
832663fffffffff,39.590317,-88.146111,544890.0
832664fffffffff,41.557241,-87.328278,544890.0
832665fffffffff,40.769594,-86.330692,544890.0
832666fffffffff,41.339856,-88.759354,544890.0
832668fffffffff,38.064363,-86.237767,144.0
832669fffffffff,37.283262,-85.297486,144.0
83266afffffffff,37.814785,-87.482589,144.0
83266bfffffffff,37.038529,-86.523196,144.0
83266cfffffffff,39.016079,-85.809971,144.0
83266dfffffffff,38.238655,-84.885651,144.0
83266efffffffff,38.828035,-87.177729,144.0
832670fffffffff,40.857953,-91.562022,147.0
832671fffffffff,40.108518,-90.505371,147.0
832672fffffffff,40.56471,-92.886471,147.0
832673fffffffff,39.822853,-91.812628,147.0
832674fffffffff,41.858193,-91.228942,147.0
832675fffffffff,41.1065,-90.171031,147.0
832676fffffffff,41.593082,-92.631462,147.0
832688fffffffff,38.200356,-104.687888,179947.0
832689fffffffff,37.545345,-103.500241,179947.0
83268afffffffff,37.730863,-106.000951,179947.0
83268bfffffffff,37.08633,-104.808049,179947.0
83268cfffffffff,39.303607,-104.565196,179947.0
83268dfffffffff,38.65236,-103.366063,179947.0
83268efffffffff,38.840897,-105.89251,179947.0
832690fffffffff,40.15371,-110.922698,167130.0
832691fffffffff,39.572803,-109.671447,167130.0
832692fffffffff,39.623205,-112.229223,167130.0
832693fffffffff,39.053528,-110.979016,167130.0
832694fffffffff,41.242234,-110.86515,167130.0
832695fffffffff,40.667506,-109.60062,167130.0
832696fffffffff,40.716964,-112.186222,167130.0
8326c8fffffffff,33.36367,-96.761442,295879.0
8326c9fffffffff,32.634058,-95.706383,295879.0
8326cafffffffff,32.960145,-98.017321,295879.0
8326cbfffffffff,32.238366,-96.950832,295879.0
8326ccfffffffff,34.481009,-96.568432,295879.0
8326cdfffffffff,33.751046,-95.50527,295879.0
8326cefffffffff,34.085651,-97.836411,295879.0
8326e8fffffffff,35.959293,-95.0915,42110.0
8326e9fffffffff,35.221605,-94.033386,42110.0
8326eafffffffff,35.58959,-96.371702,42110.0
8326ebfffffffff,34.859715,-95.300343,42110.0
8326ecfffffffff,37.049049,-94.878633,42110.0
8326edfffffffff,36.311729,-93.81266,42110.0
8326eefffffffff,36.688655,-96.171147,42110.0
832700fffffffff,50.910567,-95.714867,40769.0
832701fffffffff,50.162384,-94.348545,40769.0
832702fffffffff,50.534952,-97.374844,40769.0
832703fffffffff,49.809423,-95.999061,40769.0
832704fffffffff,52.020272,-95.414326,40769.0
832705fffffffff,51.265136,-94.01441,40769.0
832706fffffffff,51.642288,-97.12533,40769.0
832750fffffffff,45.709686,-91.285242,76496.0
832751fffffffff,44.931882,-90.133558,76496.0
832752fffffffff,45.421929,-92.811216,76496.0
832753fffffffff,44.66295,-91.645976,76496.0
832754fffffffff,46.767108,-90.90641,76496.0
832755fffffffff,45.97883,-89.732544,76496.0
832756fffffffff,46.478558,-92.473862,76496.0
832768fffffffff,44.958625,-82.82196,95.0
832769fffffffff,44.100546,-81.824276,95.0
83276afffffffff,44.785839,-84.397997,95.0
83276bfffffffff,43.943716,-83.376609,95.0
83276cfffffffff,45.981551,-82.24111,95.0
83276dfffffffff,45.110107,-81.231366,95.0
83276efffffffff,45.81376,-83.857196,95.0
832798fffffffff,45.390062,-107.902428,15947.0
832799fffffffff,44.810469,-106.59942,15947.0
83279afffffffff,44.920906,-109.30127,15947.0
83279bfffffffff,44.353767,-107.9959,15947.0
83279cfffffffff,46.412146,-107.806811,15947.0
83279dfffffffff,45.839075,-106.489621,15947.0
83279efffffffff,45.950418,-109.222147,15947.0
8327a0fffffffff,50.560742,-104.978435,32854.0
8327a1fffffffff,49.938701,-103.522489,32854.0
8327a2fffffffff,50.073642,-106.456791,32854.0
8327a3fffffffff,49.47309,-105.007245,32854.0
8327a4fffffffff,51.65801,-104.94799,32854.0
8327a5fffffffff,51.034213,-103.451611,32854.0
8327a6fffffffff,51.162333,-106.468103,32854.0
832830fffffffff,38.193209,-122.196197,313761.0
832831fffffffff,38.638532,-123.433903,313761.0
832832fffffffff,38.82387,-121.009918,313761.0
832833fffffffff,39.278468,-122.25944,313761.0
832834fffffffff,37.097866,-122.134251,313761.0
832836fffffffff,37.729669,-120.959671,313761.0
832880fffffffff,44.400306,-116.036346,95.0
832881fffffffff,44.870765,-117.367104,95.0
832882fffffffff,44.950307,-114.696959,95.0
832883fffffffff,45.432742,-116.034726,95.0
832884fffffffff,43.354371,-116.037929,95.0
832885fffffffff,43.833457,-117.353826,95.0
832886fffffffff,43.909493,-114.713595,95.0
8328d0fffffffff,48.134609,-121.51448,332296.0
8328d1fffffffff,48.501888,-122.894393,332296.0
8328d2fffffffff,48.722485,-120.183258,332296.0
8328d3fffffffff,49.101409,-121.577104,332296.0
8328d4fffffffff,47.153355,-121.453287,332296.0
8328d5fffffffff,47.53066,-122.817399,332296.0
8328d6fffffffff,47.745891,-120.136823,332296.0
8328d8fffffffff,49.794336,-124.36985,95465.0
8328d9fffffffff,50.115541,-125.840546,95465.0
8328dafffffffff,50.438036,-123.333174,95465.0
8328dbfffffffff,50.771879,-124.834805,95465.0
8328dcfffffffff,48.84782,-124.274967,95465.0
8328ddfffffffff,49.172559,-125.654598,95465.0
8328defffffffff,49.458655,-122.973186,95465.0
8329a0fffffffff,33.969092,-117.246454,198163.0
8329a1fffffffff,34.500095,-118.44763,198163.0
8329a2fffffffff,34.564006,-116.049431,198163.0
8329a3fffffffff,35.104621,-117.257405,198163.0
8329a4fffffffff,32.826164,-117.235722,198163.0
8329a5fffffffff,33.363745,-118.424787,198163.0
8329a6fffffffff,33.422098,-116.050737,198163.0
832a10fffffffff,40.858416,-73.781928,169629.0
832a12fffffffff,40.812033,-75.2513,169629.0
832a13fffffffff,39.93587,-74.471824,169629.0
832a14fffffffff,41.786806,-73.064678,169629.0
832a15fffffffff,40.886118,-72.312021,169629.0
832a16fffffffff,41.749485,-74.563553,169629.0
832a88fffffffff,37.046037,-79.102947,96.0
832a89fffffffff,36.239566,-78.316567,96.0
832a8afffffffff,36.940588,-80.45033,96.0
832a8bfffffffff,36.144537,-79.644052,96.0
832a8cfffffffff,37.957646,-78.540963,96.0
832a8dfffffffff,37.136388,-77.749178,96.0
832a8efffffffff,37.856698,-79.915812,96.0
832aa0fffffffff,41.616525,-77.554392,62567.0
832aa1fffffffff,40.747039,-76.718207,62567.0
832aa2fffffffff,41.521201,-79.042314,62567.0
832aa3fffffffff,40.663584,-78.180741,62567.0
832aa4fffffffff,42.576858,-76.901761,62567.0
832aa5fffffffff,41.692686,-76.060803,62567.0
832aa6fffffffff,42.488679,-78.422354,62567.0
832aa8fffffffff,38.957863,-76.548273,348687.0
832aa9fffffffff,38.111619,-75.774869,348687.0
832aaafffffffff,38.878785,-77.956984,348687.0
832aabfffffffff,38.042692,-77.160124,348687.0
832aacfffffffff,39.881224,-75.912423,348687.0
832aadfffffffff,39.020012,-75.135713,348687.0
832aaefffffffff,39.808817,-77.34982,348687.0
832ab0fffffffff,42.253088,-81.440214,301.0
832ab1fffffffff,41.406996,-80.522607,301.0
832ab2fffffffff,42.106439,-82.933465,301.0
832ab3fffffffff,41.274267,-81.993373,301.0
832ab4fffffffff,43.24081,-80.862712,301.0
832ab5fffffffff,42.380642,-79.935853,301.0
832ab6fffffffff,43.099054,-82.391117,301.0
832b00fffffffff,46.277882,-64.099593,307.0
832b01fffffffff,45.283686,-63.477764,307.0
832b02fffffffff,46.369047,-65.726632,307.0
832b03fffffffff,45.380705,-65.06444,307.0
832b05fffffffff,46.16441,-62.487504,307.0
832b06fffffffff,47.279511,-64.751625,307.0
832b0afffffffff,43.514158,-65.351986,14515.0
832b0efffffffff,44.399852,-64.432119,14515.0
832b18fffffffff,44.54169,-67.565551,18894.0
832b1afffffffff,44.580564,-69.146642,18894.0
832b1cfffffffff,45.45601,-66.664054,18894.0
